voucher_id,transaction_date,transaction_type,department_code,partner_code,evidence_type,evidence_no,description,debit_account_1,debit_amount_1,debit_account_2,debit_amount_2,credit_account_1,credit_amount_1,credit_account_2,credit_amount_2,supply_amount,vat_amount,total_amount,remarks,error_count,error_types,processing_status
JV2026081040,2026-08-07,제품 판매,D006,C001,전자세금계산서,TAX-202608-0040,방진부품 외상 판매,1130,11099000,,0,4110,10090000,2180.0,1009000,10090000,1009000,11099000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081041,2026-08-30,운송비,D007,V005,전자세금계산서,TAX-202608-0041,제품 납품 운송비,5140,700000,1180.0,70000,2120,770000,,0,700000,70000,770000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081042,2026-08-27,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0042,자동차부품용 소재 매입,1210,4730000,1180.0,473000,2110,5203000,,0,4730000,473000,5203000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081043,2026-08-20,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0043,고무 원재료 외상 매입,1210,2120000,1180.0,212000,2110,2332000,,0,2120000,212000,2332000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081044,2026-08-07,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0044,합성고무 원재료 구매,1210,4850000,1180.0,485000,2110,5335000,,0,4850000,485000,5335000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081045,2026-08-17,경영서비스 수수료,D001,V008,전자세금계산서,TAX-202608-0045,회계 자문 수수료,5160,2330000,1180.0,233000,2120,2563000,,0,2330000,233000,2563000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081046,2026-08-02,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0046,합성고무 원재료 구매,1210,3190000,1180.0,319000,2110,3509000,,0,3190000,319000,3509000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081047,2026-08-01,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0047,고무 원재료 외상 매입,1210,5020000,1180.0,502000,2110,5522000,,0,5020000,502000,5522000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081048,2026-08-12,생산설비 구매,D002,V007,전자세금계산서,TAX-202608-0048,생산설비 구매,1510,37770000,1180.0,3777000,2120,41547000,,0,37770000,3777000,41547000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081049,2026-08-04,제품 판매,D006,C004,전자세금계산서,TAX-202608-0049,방진부품 외상 판매,1130,19382000,,0,4110,17620000,2180.0,1762000,17620000,1762000,19382000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081050,2026-08-31,제품 판매,D006,C003,전자세금계산서,TAX-202608-0050,자동차용 고무부품 외상 판매,1130,6523000,,0,4110,5930000,2180.0,593000,5930000,593000,6523000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081051,2026-08-22,산업용 소모품 구매,D004,V004,법인카드,TAX-202608-0051,검사용 소모품 구매,5130,200000,1180.0,20000,2110,220000,,0,200000,20000,220000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081052,2026-08-09,제품 판매,D006,C004,전자세금계산서,TAX-202608-0052,자동차용 고무부품 외상 판매,1130,15917000,,0,4110,14470000,2180.0,1447000,14470000,1447000,15917000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081053,2026-08-03,운송비,D007,V005,전자세금계산서,TAX-202608-0053,제품 납품 운송비,5140,1090000,1180.0,109000,2120,1199000,,0,1090000,109000,1199000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081054,2026-08-20,운송비,D007,V005,전자세금계산서,TAX-202608-0054,긴급 납품 운송비,5140,1150000,1180.0,115000,2120,1265000,,0,1150000,115000,1265000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081055,2026-08-08,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0055,고무 원재료 외상 매입,1210,7390000,1180.0,739000,2110,8129000,,0,7390000,739000,8129000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081056,2026-08-11,운송비,D007,V005,전자세금계산서,TAX-202608-0056,제품 납품 운송비,5140,610000,1180.0,61000,2120,671000,,0,610000,61000,671000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081057,2026-08-16,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0057,합성고무 원재료 구매,1210,6710000,1180.0,671000,2110,7381000,,0,6710000,671000,7381000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081058,2026-08-12,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0058,합성고무 원재료 구매,1210,5520000,1180.0,552000,2110,6072000,,0,5520000,552000,6072000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081059,2026-08-09,제품 판매,D006,C003,전자세금계산서,TAX-202608-0059,방진부품 외상 판매,1130,17116000,,0,4110,15560000,2180.0,1556000,15560000,1556000,17116000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081060,2026-08-20,산업용 소모품 구매,D007,V004,법인카드,TAX-202608-0060,제품 포장재 구매,5130,330000,1180.0,33000,2110,363000,,0,330000,33000,363000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081061,2026-08-11,산업용 소모품 구매,D007,V003,법인카드,CARD-202608-0061,현장 안전용품 구매,5130,810000,1180.0,81000,2140,891000,,0,810000,81000,891000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081062,2026-08-30,제품 판매,D006,C004,전자세금계산서,TAX-202608-0062,고무호스 제품 외상 판매,1130,17050000,,0,4110,15500000,2180.0,1550000,15500000,1550000,17050000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081063,2026-08-29,산업용 소모품 구매,D005,V003,법인카드,,생산 작업용 장갑 구매,5130,270000,1180.0,27000,2140,297000,,0,270000,27000,297000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요
JV2026081064,2026-08-22,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0064,합성고무 원재료 구매,1210,2620000,1180.0,262000,2110,2882000,,0,2620000,262000,2882000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081065,2026-08-04,생산설비 구매,D002,V007,전자세금계산서,TAX-202608-0065,생산설비 구매,1510,11600000,1180.0,1160000,2120,12760000,,0,11600000,1160000,12760000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081066,2026-08-16,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0066,고무 원재료 외상 매입,1210,6030000,1180.0,603000,2110,6633000,,0,6030000,603000,6633000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081067,2026-08-17,공장 전기요금,D003,V006,전자세금계산서,TAX-202608-0067,공장 설비 전력 사용료,5150,2270000,1180.0,227000,2120,2497000,,0,2270000,227000,2497000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081068,2026-08-19,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0068,공장 설비 전력 사용료,5150,4740000,1180.0,474000,2120,5214000,,0,4740000,474000,5214000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081069,2026-08-06,원재료 매입,D002,V002,전자세금계산서,CARD-202608-0001,합성고무 원재료 구매,1210,4640000,1180.0,464000,2110,5104000,,0,4640000,464000,5104000,포트폴리오용 합성 거래,1,증빙번호 중복,검토 필요
JV2026081070,2026-08-27,운송비,D007,V005,전자세금계산서,TAX-202608-0070,긴급 납품 운송비,5140,400000,1180.0,40000,2120,440000,,0,400000,40000,440000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081071,2026-08-01,운송비,D007,V005,전자세금계산서,TAX-202608-0071,긴급 납품 운송비,5140,800000,1180.0,80000,2120,880000,,0,800000,80000,880000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081072,2026-08-17,운송비,D007,V005,전자세금계산서,TAX-202608-0072,긴급 납품 운송비,5140,360000,1180.0,36000,2120,396000,,0,360000,36000,396000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081073,2026-08-14,제품 판매,D006,C002,전자세금계산서,TAX-202608-0073,자동차용 고무부품 외상 판매,1130,18656000,,0,4110,16960000,2180.0,1696000,16960000,1696000,18656000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081074,2026-08-05,제품 판매,D006,C004,전자세금계산서,TAX-202608-0074,자동차용 고무부품 외상 판매,1130,6369000,,0,4110,5790000,2180.0,579000,5790000,579000,6369000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081075,2026-08-03,산업용 소모품 구매,D003,V004,법인카드,TAX-202608-0075,제품 포장재 구매,5130,690000,1180.0,69000,2110,759000,,0,690000,69000,759000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081076,2026-08-21,제품 판매,D006,C003,전자세금계산서,TAX-202608-0076,자동차용 고무부품 외상 판매,1130,13497000,,0,4110,12270000,2180.0,1227000,12270000,1227000,13497000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081077,2026-08-18,제품 판매,D006,V999,전자세금계산서,TAX-202608-0077,방진부품 외상 판매,1130,9515000,,0,4110,8650000,2180.0,865000,8650000,865000,9515000,포트폴리오용 합성 거래,1,존재하지 않는 거래처,검토 필요
JV2026081078,2026-08-24,생산설비 구매,D002,V007,전자세금계산서,TAX-202608-0078,품질검사 설비 구매,1510,16250000,1180.0,1625000,2120,17875000,,0,16250000,1625000,17875000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081079,2026-08-02,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0079,공장 설비 전력 사용료,5150,2260000,1180.0,226000,2120,2486000,,0,2260000,226000,2486000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081080,2026-08-26,운송비,D007,V005,전자세금계산서,TAX-202608-0080,원재료 입고 운송비,5140,360000,1180.0,36000,2120,396000,,0,360000,36000,396000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081081,2026-08-22,제품 판매,D006,C001,전자세금계산서,TAX-202608-0081,방진부품 외상 판매,1130,16489000,,0,4110,14990000,2180.0,1499000,14990000,1499000,16489000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081082,2026-08-26,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0082,공장 설비 전력 사용료,5150,4540000,1180.0,454000,2120,4994000,,0,4540000,454000,4994000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081083,2026-08-28,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0083,고무 원재료 외상 매입,1210,6060000,1180.0,605000,2110,6655000,,0,6050000,605000,6655000,포트폴리오용 합성 거래,1,차변·대변 불일치,검토 필요
JV2026081084,2026-08-20,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0084,고무 원재료 외상 매입,1210,4200000,1180.0,420000,2110,4620000,,0,4200000,420000,4620000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081085,2026-08-12,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0085,합성고무 원재료 구매,1210,5700000,1180.0,570000,2110,6270000,,0,5700000,570000,6270000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081086,2026-08-23,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0086,합성고무 원재료 구매,1210,1500000,1180.0,150000,2110,1650000,,0,1500000,150000,1650000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081087,2026-08-30,운송비,D007,V005,전자세금계산서,TAX-202608-0087,긴급 납품 운송비,5140,1440000,1180.0,144000,2120,1584000,,0,1440000,144000,1584000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081088,2026-08-17,제품 판매,D006,C002,전자세금계산서,TAX-202608-0088,자동차용 씰링부품 외상 판매,1130,10791000,,0,4110,9810000,2180.0,981000,9810000,981000,10791000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081089,2026-08-28,제품 판매,D006,C002,전자세금계산서,TAX-202608-0089,방진부품 외상 판매,1130,10032000,,0,4110,9120000,2180.0,912000,9120000,912000,10032000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081090,2026-08-28,운송비,D007,V005,전자세금계산서,TAX-202608-0090,제품 납품 운송비,5140,1270000,1180.0,127000,2120,1397000,,0,1270000,127000,1397000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081091,2026-08-13,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0091,생산2공장 전기요금,5150,4710000,1180.0,471000,2120,5181000,,0,4710000,471000,5181000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081092,2026-08-20,산업용 소모품 구매,D005,V003,법인카드,CARD-202608-0092,현장 안전용품 구매,5130,250000,1180.0,25000,2140,275000,,0,250000,25000,275000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081093,2026-08-30,제품 판매,D006,C004,전자세금계산서,TAX-202608-0093,자동차용 씰링부품 외상 판매,1130,21802000,,0,4110,19820000,2180.0,1982000,19820000,1982000,21802000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081094,2026-08-28,제품 판매,D006,C003,전자세금계산서,TAX-202608-0094,방진부품 외상 판매,1130,15191000,,0,4110,13810000,2180.0,1381000,13810000,1381000,15191000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081095,2026-09-05,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0095,합성고무 원재료 구매,1210,2260000,1180.0,226000,2110,2486000,,0,2260000,226000,2486000,포트폴리오용 합성 거래,1,회계기간 이탈,검토 필요
JV2026081096,2026-08-01,생산설비 구매,D002,V007,전자세금계산서,TAX-202608-0096,생산설비 구매,1510,20810000,1180.0,2081000,2120,22891000,,0,20810000,2081000,22891000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081097,2026-08-30,제품 판매,D006,C003,전자세금계산서,TAX-202608-0097,자동차용 씰링부품 외상 판매,1130,15851000,,0,4110,14410000,2180.0,1441000,14410000,1441000,15851000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081098,2026-08-21,경영서비스 수수료,D001,V008,전자세금계산서,TAX-202608-0098,회계 자문 수수료,5160,1780000,1180.0,178000,2120,1958000,,0,1780000,178000,1958000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081099,2026-08-31,제품 판매,D006,C003,전자세금계산서,TAX-202608-0099,고무호스 제품 외상 판매,1130,9680000,,0,4110,8800000,2180.0,880000,8800000,880000,9680000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081100,2026-08-12,공장 전기요금,D003,V006,전자세금계산서,TAX-202608-0100,공장 설비 전력 사용료,5150,2530000,1180.0,253000,2120,2783000,,0,2530000,253000,2783000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081101,2026-08-29,산업용 소모품 구매,D004,V003,법인카드,CARD-202608-0101,생산 작업용 장갑 구매,5130,870000,1180.0,87000,2140,957000,,0,870000,87000,957000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081102,2026-08-30,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0102,고무 원재료 외상 매입,1210,5520000,1180.0,552000,2110,6072000,,0,5520000,552000,6072000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081103,2026-08-26,운송비,D007,V005,전자세금계산서,TAX-202608-0103,원재료 입고 운송비,5140,1040000,1180.0,104000,2120,1144000,,0,1040000,104000,1144000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081104,2026-08-30,운송비,D007,V005,전자세금계산서,TAX-202608-0104,제품 납품 운송비,5140,1200000,1180.0,120000,2120,1320000,,0,1200000,120000,1320000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081105,2026-08-04,산업용 소모품 구매,D004,V004,법인카드,TAX-202608-0105,생산 작업용 장갑 구매,5130,430000,1180.0,43000,2110,473000,,0,430000,43000,473000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081106,2026-08-19,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0106,합성고무 원재료 구매,1210,5410000,1180.0,541000,2110,5951000,,0,5410000,541000,5951000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081107,2026-08-13,운송비,D007,V005,전자세금계산서,TAX-202608-0107,제품 납품 운송비,5140,230000,1180.0,23000,2120,253000,,0,230000,23000,253000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081108,2026-08-02,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0108,공장 설비 전력 사용료,5150,4830000,1180.0,483000,2120,5313000,,0,4830000,483000,5313000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081109,2026-08-03,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0109,생산2공장 전기요금,5150,4790000,1180.0,479000,2120,5269000,,0,4790000,479000,5269000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081110,2026-08-11,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0110,자동차부품용 소재 매입,1210,7120000,1180.0,712000,2110,7832000,,0,7120000,712000,7832000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081111,2026-08-08,공장 전기요금,D003,V006,전자세금계산서,TAX-202608-0111,생산1공장 전기요금,5150,4290000,1180.0,429000,2120,4719000,,0,4290000,429000,4719000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081112,2026-08-12,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0112,고무 원재료 외상 매입,1210,7060000,1180.0,706000,2110,7766000,,0,7060000,706000,7756000,포트폴리오용 합성 거래,1,전표 합계 불일치,검토 필요
JV2026081113,2026-08-03,산업용 소모품 구매,D005,V003,법인카드,CARD-202608-0113,검사용 소모품 구매,5130,960000,1180.0,96000,2140,1056000,,0,960000,96000,1056000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081114,2026-08-26,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0114,고무 원재료 외상 매입,1210,7010000,1180.0,701000,2110,7711000,,0,7010000,701000,7711000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081115,2026-08-04,산업용 소모품 구매,D003,V003,법인카드,CARD-202608-0115,제품 포장재 구매,5130,670000,1180.0,67000,2140,737000,,0,670000,67000,737000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081116,2026-08-11,생산설비 구매,D002,V007,전자세금계산서,TAX-202608-0116,생산설비 구매,1510,14120000,1180.0,1412000,2120,15532000,,0,14120000,1412000,15532000,포트폴리오용 합성 거래,0,없음,입력 가능
