voucher_id,line_no,transaction_date,transaction_type,department_code,partner_code,debit_credit_type,account_code,account_name,amount,evidence_type,evidence_no,description,remarks
JV2026081007,3,2026-08-17,운송비,D007,V005,대변,2120,미지급금,858000,전자세금계산서,TAX-202608-0007,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081008,1,2026-08-16,산업용 소모품 구매,D007,V004,차변,5130,소모품비,240000,법인카드,TAX-202608-0008,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081008,2,2026-08-16,산업용 소모품 구매,D007,V004,차변,1180,부가세대급금,24000,법인카드,TAX-202608-0008,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081008,3,2026-08-16,산업용 소모품 구매,D007,V004,대변,2110,외상매입금,264000,법인카드,TAX-202608-0008,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081009,1,2026-08-30,운송비,D007,V005,차변,5140,운반비,700000,전자세금계산서,TAX-202608-0009,긴급 납품 운송비,포트폴리오용 합성 거래
JV2026081009,2,2026-08-30,운송비,D007,V005,차변,1180,부가세대급금,70000,전자세금계산서,TAX-202608-0009,긴급 납품 운송비,포트폴리오용 합성 거래
JV2026081009,3,2026-08-30,운송비,D007,V005,대변,2120,미지급금,770000,전자세금계산서,TAX-202608-0009,긴급 납품 운송비,포트폴리오용 합성 거래
JV2026081010,1,2026-08-03,산업용 소모품 구매,D007,V004,차변,5130,소모품비,600000,법인카드,TAX-202608-0010,생산 작업용 장갑 구매,포트폴리오용 합성 거래
JV2026081010,2,2026-08-03,산업용 소모품 구매,D007,V004,차변,1180,부가세대급금,60000,법인카드,TAX-202608-0010,생산 작업용 장갑 구매,포트폴리오용 합성 거래
JV2026081010,3,2026-08-03,산업용 소모품 구매,D007,V004,대변,2110,외상매입금,660000,법인카드,TAX-202608-0010,생산 작업용 장갑 구매,포트폴리오용 합성 거래
JV2026081011,1,2026-08-07,생산설비 구매,D002,V007,차변,1510,기계장치,22970000,전자세금계산서,TAX-202608-0011,생산설비 구매,포트폴리오용 합성 거래
JV2026081011,2,2026-08-07,생산설비 구매,D002,V007,차변,1180,부가세대급금,2297000,전자세금계산서,TAX-202608-0011,생산설비 구매,포트폴리오용 합성 거래
JV2026081011,3,2026-08-07,생산설비 구매,D002,V007,대변,2120,미지급금,25267000,전자세금계산서,TAX-202608-0011,생산설비 구매,포트폴리오용 합성 거래
JV2026081012,1,2026-08-18,제품 판매,D006,C004,차변,1130,외상매출금,11836000,전자세금계산서,TAX-202608-0012,자동차용 씰링부품 외상 판매,포트폴리오용 합성 거래
JV2026081012,2,2026-08-18,제품 판매,D006,C004,대변,4110,제품매출,10760000,전자세금계산서,TAX-202608-0012,자동차용 씰링부품 외상 판매,포트폴리오용 합성 거래
JV2026081012,3,2026-08-18,제품 판매,D006,C004,대변,2180,부가세예수금,1076000,전자세금계산서,TAX-202608-0012,자동차용 씰링부품 외상 판매,포트폴리오용 합성 거래
JV2026081013,1,2026-08-28,원재료 매입,D002,V002,차변,1210,원재료,5540000,전자세금계산서,TAX-202608-0013,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081013,2,2026-08-28,원재료 매입,D002,V002,차변,1180,부가세대급금,554000,전자세금계산서,TAX-202608-0013,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081013,3,2026-08-28,원재료 매입,D002,V002,대변,2110,외상매입금,6094000,전자세금계산서,TAX-202608-0013,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081014,1,2026-08-03,공장 전기요금,D004,V006,차변,5150,전력비,3050000,전자세금계산서,TAX-202608-0014,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081014,2,2026-08-03,공장 전기요금,D004,V006,차변,1180,부가세대급금,305000,전자세금계산서,TAX-202608-0014,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081014,3,2026-08-03,공장 전기요금,D004,V006,대변,2120,미지급금,3355000,전자세금계산서,TAX-202608-0014,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081015,1,2026-08-02,산업용 소모품 구매,D007,V004,차변,5130,소모품비,150000,법인카드,TAX-202608-0015,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081015,2,2026-08-02,산업용 소모품 구매,D007,V004,차변,1180,부가세대급금,15000,법인카드,TAX-202608-0015,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081015,3,2026-08-02,산업용 소모품 구매,D007,V004,대변,2110,외상매입금,165000,법인카드,TAX-202608-0015,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081017,1,2026-08-30,제품 판매,D006,C002,차변,1130,외상매출금,14245000,전자세금계산서,TAX-202608-0017,자동차용 씰링부품 외상 판매,포트폴리오용 합성 거래
JV2026081017,2,2026-08-30,제품 판매,D006,C002,대변,4110,제품매출,12950000,전자세금계산서,TAX-202608-0017,자동차용 씰링부품 외상 판매,포트폴리오용 합성 거래
JV2026081017,3,2026-08-30,제품 판매,D006,C002,대변,2180,부가세예수금,1295000,전자세금계산서,TAX-202608-0017,자동차용 씰링부품 외상 판매,포트폴리오용 합성 거래
JV2026081018,1,2026-08-08,공장 전기요금,D004,V006,차변,5150,전력비,3140000,전자세금계산서,TAX-202608-0018,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081018,2,2026-08-08,공장 전기요금,D004,V006,차변,1180,부가세대급금,314000,전자세금계산서,TAX-202608-0018,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081018,3,2026-08-08,공장 전기요금,D004,V006,대변,2120,미지급금,3454000,전자세금계산서,TAX-202608-0018,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081019,1,2026-08-08,운송비,D007,V005,차변,5140,운반비,1010000,전자세금계산서,TAX-202608-0019,원재료 입고 운송비,포트폴리오용 합성 거래
JV2026081019,2,2026-08-08,운송비,D007,V005,차변,1180,부가세대급금,101000,전자세금계산서,TAX-202608-0019,원재료 입고 운송비,포트폴리오용 합성 거래
JV2026081019,3,2026-08-08,운송비,D007,V005,대변,2120,미지급금,1111000,전자세금계산서,TAX-202608-0019,원재료 입고 운송비,포트폴리오용 합성 거래
JV2026081020,1,2026-08-25,운송비,D007,V005,차변,5140,운반비,1430000,전자세금계산서,TAX-202608-0020,원재료 입고 운송비,포트폴리오용 합성 거래
JV2026081020,2,2026-08-25,운송비,D007,V005,차변,1180,부가세대급금,143000,전자세금계산서,TAX-202608-0020,원재료 입고 운송비,포트폴리오용 합성 거래
JV2026081020,3,2026-08-25,운송비,D007,V005,대변,2120,미지급금,1573000,전자세금계산서,TAX-202608-0020,원재료 입고 운송비,포트폴리오용 합성 거래
JV2026081021,1,2026-08-13,원재료 매입,D002,V001,차변,1210,원재료,1640000,전자세금계산서,TAX-202608-0021,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081021,2,2026-08-13,원재료 매입,D002,V001,차변,1180,부가세대급금,164000,전자세금계산서,TAX-202608-0021,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081021,3,2026-08-13,원재료 매입,D002,V001,대변,2110,외상매입금,1804000,전자세금계산서,TAX-202608-0021,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081022,1,2026-08-12,원재료 매입,D002,V001,차변,1210,원재료,7470000,전자세금계산서,TAX-202608-0022,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081022,2,2026-08-12,원재료 매입,D002,V001,차변,1180,부가세대급금,747000,전자세금계산서,TAX-202608-0022,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081022,3,2026-08-12,원재료 매입,D002,V001,대변,2110,외상매입금,8217000,전자세금계산서,TAX-202608-0022,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081023,1,2026-08-17,원재료 매입,D002,V001,차변,1210,원재료,4910000,전자세금계산서,TAX-202608-0023,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081023,2,2026-08-17,원재료 매입,D002,V001,차변,1180,부가세대급금,491000,전자세금계산서,TAX-202608-0023,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081023,3,2026-08-17,원재료 매입,D002,V001,대변,2110,외상매입금,5401000,전자세금계산서,TAX-202608-0023,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081024,1,2026-08-27,경영서비스 수수료,D001,V008,차변,5160,지급수수료,540000,전자세금계산서,TAX-202608-0024,회계 자문 수수료,포트폴리오용 합성 거래
JV2026081024,2,2026-08-27,경영서비스 수수료,D001,V008,차변,1180,부가세대급금,54000,전자세금계산서,TAX-202608-0024,회계 자문 수수료,포트폴리오용 합성 거래
JV2026081024,3,2026-08-27,경영서비스 수수료,D001,V008,대변,2120,미지급금,594000,전자세금계산서,TAX-202608-0024,회계 자문 수수료,포트폴리오용 합성 거래
JV2026081025,1,2026-08-28,제품 판매,D006,C002,차변,1130,외상매출금,4774000,전자세금계산서,TAX-202608-0025,자동차용 고무부품 외상 판매,포트폴리오용 합성 거래
JV2026081025,2,2026-08-28,제품 판매,D006,C002,대변,4110,제품매출,4340000,전자세금계산서,TAX-202608-0025,자동차용 고무부품 외상 판매,포트폴리오용 합성 거래
JV2026081025,3,2026-08-28,제품 판매,D006,C002,대변,2180,부가세예수금,434000,전자세금계산서,TAX-202608-0025,자동차용 고무부품 외상 판매,포트폴리오용 합성 거래
JV2026081026,1,2026-08-01,제품 판매,D006,C004,차변,1130,외상매출금,15081000,전자세금계산서,TAX-202608-0026,자동차용 씰링부품 외상 판매,포트폴리오용 합성 거래
JV2026081026,2,2026-08-01,제품 판매,D006,C004,대변,4110,제품매출,13710000,전자세금계산서,TAX-202608-0026,자동차용 씰링부품 외상 판매,포트폴리오용 합성 거래
JV2026081026,3,2026-08-01,제품 판매,D006,C004,대변,2180,부가세예수금,1371000,전자세금계산서,TAX-202608-0026,자동차용 씰링부품 외상 판매,포트폴리오용 합성 거래
JV2026081027,1,2026-08-03,산업용 소모품 구매,D007,V004,차변,5130,소모품비,530000,법인카드,TAX-202608-0027,생산 작업용 장갑 구매,포트폴리오용 합성 거래
JV2026081027,2,2026-08-03,산업용 소모품 구매,D007,V004,차변,1180,부가세대급금,53000,법인카드,TAX-202608-0027,생산 작업용 장갑 구매,포트폴리오용 합성 거래
JV2026081027,3,2026-08-03,산업용 소모품 구매,D007,V004,대변,2110,외상매입금,583000,법인카드,TAX-202608-0027,생산 작업용 장갑 구매,포트폴리오용 합성 거래
JV2026081028,1,2026-08-01,공장 전기요금,D003,V006,차변,5150,전력비,3260000,전자세금계산서,TAX-202608-0028,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081028,2,2026-08-01,공장 전기요금,D003,V006,차변,1180,부가세대급금,326000,전자세금계산서,TAX-202608-0028,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081028,3,2026-08-01,공장 전기요금,D003,V006,대변,2120,미지급금,3586000,전자세금계산서,TAX-202608-0028,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081029,1,2026-08-01,원재료 매입,D002,V002,차변,1210,원재료,1040000,전자세금계산서,TAX-202608-0029,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081029,2,2026-08-01,원재료 매입,D002,V002,차변,1180,부가세대급금,104000,전자세금계산서,TAX-202608-0029,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081029,3,2026-08-01,원재료 매입,D002,V002,대변,2110,외상매입금,1144000,전자세금계산서,TAX-202608-0029,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081030,1,2026-08-07,공장 전기요금,D003,V006,차변,5150,전력비,3820000,전자세금계산서,TAX-202608-0030,생산2공장 전기요금,포트폴리오용 합성 거래
JV2026081030,2,2026-08-07,공장 전기요금,D003,V006,차변,1180,부가세대급금,382000,전자세금계산서,TAX-202608-0030,생산2공장 전기요금,포트폴리오용 합성 거래
JV2026081030,3,2026-08-07,공장 전기요금,D003,V006,대변,2120,미지급금,4202000,전자세금계산서,TAX-202608-0030,생산2공장 전기요금,포트폴리오용 합성 거래
JV2026081031,1,2026-08-26,운송비,D007,V005,차변,5140,운반비,610000,전자세금계산서,TAX-202608-0031,긴급 납품 운송비,포트폴리오용 합성 거래
JV2026081031,2,2026-08-26,운송비,D007,V005,차변,1180,부가세대급금,61000,전자세금계산서,TAX-202608-0031,긴급 납품 운송비,포트폴리오용 합성 거래
JV2026081031,3,2026-08-26,운송비,D007,V005,대변,2120,미지급금,671000,전자세금계산서,TAX-202608-0031,긴급 납품 운송비,포트폴리오용 합성 거래
JV2026081032,1,2026-08-07,산업용 소모품 구매,D005,V003,차변,5130,소모품비,610000,법인카드,CARD-202608-0032,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081032,2,2026-08-07,산업용 소모품 구매,D005,V003,차변,1180,부가세대급금,61000,법인카드,CARD-202608-0032,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081032,3,2026-08-07,산업용 소모품 구매,D005,V003,대변,2140,카드미지급금,671000,법인카드,CARD-202608-0032,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081033,1,2026-08-05,공장 전기요금,D004,V006,차변,5150,전력비,3300000,전자세금계산서,TAX-202608-0033,생산2공장 전기요금,포트폴리오용 합성 거래
JV2026081033,2,2026-08-05,공장 전기요금,D004,V006,차변,1180,부가세대급금,330000,전자세금계산서,TAX-202608-0033,생산2공장 전기요금,포트폴리오용 합성 거래
JV2026081033,3,2026-08-05,공장 전기요금,D004,V006,대변,2120,미지급금,3630000,전자세금계산서,TAX-202608-0033,생산2공장 전기요금,포트폴리오용 합성 거래
JV2026081034,1,2026-08-13,산업용 소모품 구매,D003,V003,차변,5130,소모품비,410000,법인카드,CARD-202608-0034,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081034,2,2026-08-13,산업용 소모품 구매,D003,V003,차변,1180,부가세대급금,41000,법인카드,CARD-202608-0034,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081034,3,2026-08-13,산업용 소모품 구매,D003,V003,대변,2140,카드미지급금,451000,법인카드,CARD-202608-0034,현장 안전용품 구매,포트폴리오용 합성 거래
JV2026081035,1,2026-08-28,공장 전기요금,D003,V006,차변,5150,전력비,1650000,전자세금계산서,TAX-202608-0035,생산2공장 전기요금,포트폴리오용 합성 거래
JV2026081035,2,2026-08-28,공장 전기요금,D003,V006,차변,1180,부가세대급금,165000,전자세금계산서,TAX-202608-0035,생산2공장 전기요금,포트폴리오용 합성 거래
JV2026081035,3,2026-08-28,공장 전기요금,D003,V006,대변,2120,미지급금,1815000,전자세금계산서,TAX-202608-0035,생산2공장 전기요금,포트폴리오용 합성 거래
JV2026081036,1,2026-08-21,공장 전기요금,D004,V006,차변,5150,전력비,2330000,전자세금계산서,TAX-202608-0036,생산1공장 전기요금,포트폴리오용 합성 거래
JV2026081036,2,2026-08-21,공장 전기요금,D004,V006,차변,1180,부가세대급금,233000,전자세금계산서,TAX-202608-0036,생산1공장 전기요금,포트폴리오용 합성 거래
JV2026081036,3,2026-08-21,공장 전기요금,D004,V006,대변,2120,미지급금,2563000,전자세금계산서,TAX-202608-0036,생산1공장 전기요금,포트폴리오용 합성 거래
JV2026081037,1,2026-08-30,운송비,D007,V005,차변,5140,운반비,940000,전자세금계산서,TAX-202608-0037,원재료 입고 운송비,포트폴리오용 합성 거래
JV2026081037,2,2026-08-30,운송비,D007,V005,차변,1180,부가세대급금,94000,전자세금계산서,TAX-202608-0037,원재료 입고 운송비,포트폴리오용 합성 거래
JV2026081037,3,2026-08-30,운송비,D007,V005,대변,2120,미지급금,1034000,전자세금계산서,TAX-202608-0037,원재료 입고 운송비,포트폴리오용 합성 거래
JV2026081038,1,2026-08-07,산업용 소모품 구매,D007,V003,차변,5130,소모품비,710000,법인카드,CARD-202608-0038,생산 작업용 장갑 구매,포트폴리오용 합성 거래
JV2026081038,2,2026-08-07,산업용 소모품 구매,D007,V003,차변,1180,부가세대급금,71000,법인카드,CARD-202608-0038,생산 작업용 장갑 구매,포트폴리오용 합성 거래
JV2026081038,3,2026-08-07,산업용 소모품 구매,D007,V003,대변,2140,카드미지급금,781000,법인카드,CARD-202608-0038,생산 작업용 장갑 구매,포트폴리오용 합성 거래
JV2026081039,1,2026-08-30,원재료 매입,D002,V001,차변,1210,원재료,7320000,전자세금계산서,TAX-202608-0039,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081039,2,2026-08-30,원재료 매입,D002,V001,차변,1180,부가세대급금,732000,전자세금계산서,TAX-202608-0039,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081039,3,2026-08-30,원재료 매입,D002,V001,대변,2110,외상매입금,8052000,전자세금계산서,TAX-202608-0039,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081040,1,2026-08-07,제품 판매,D006,C001,차변,1130,외상매출금,11099000,전자세금계산서,TAX-202608-0040,방진부품 외상 판매,포트폴리오용 합성 거래
JV2026081040,2,2026-08-07,제품 판매,D006,C001,대변,4110,제품매출,10090000,전자세금계산서,TAX-202608-0040,방진부품 외상 판매,포트폴리오용 합성 거래
JV2026081040,3,2026-08-07,제품 판매,D006,C001,대변,2180,부가세예수금,1009000,전자세금계산서,TAX-202608-0040,방진부품 외상 판매,포트폴리오용 합성 거래
JV2026081041,1,2026-08-30,운송비,D007,V005,차변,5140,운반비,700000,전자세금계산서,TAX-202608-0041,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081041,2,2026-08-30,운송비,D007,V005,차변,1180,부가세대급금,70000,전자세금계산서,TAX-202608-0041,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081041,3,2026-08-30,운송비,D007,V005,대변,2120,미지급금,770000,전자세금계산서,TAX-202608-0041,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081042,1,2026-08-27,원재료 매입,D002,V002,차변,1210,원재료,4730000,전자세금계산서,TAX-202608-0042,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081042,2,2026-08-27,원재료 매입,D002,V002,차변,1180,부가세대급금,473000,전자세금계산서,TAX-202608-0042,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081042,3,2026-08-27,원재료 매입,D002,V002,대변,2110,외상매입금,5203000,전자세금계산서,TAX-202608-0042,자동차부품용 소재 매입,포트폴리오용 합성 거래
JV2026081043,1,2026-08-20,원재료 매입,D002,V002,차변,1210,원재료,2120000,전자세금계산서,TAX-202608-0043,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081043,2,2026-08-20,원재료 매입,D002,V002,차변,1180,부가세대급금,212000,전자세금계산서,TAX-202608-0043,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081043,3,2026-08-20,원재료 매입,D002,V002,대변,2110,외상매입금,2332000,전자세금계산서,TAX-202608-0043,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081044,1,2026-08-07,원재료 매입,D002,V002,차변,1210,원재료,4850000,전자세금계산서,TAX-202608-0044,합성고무 원재료 구매,포트폴리오용 합성 거래
JV2026081044,2,2026-08-07,원재료 매입,D002,V002,차변,1180,부가세대급금,485000,전자세금계산서,TAX-202608-0044,합성고무 원재료 구매,포트폴리오용 합성 거래
JV2026081044,3,2026-08-07,원재료 매입,D002,V002,대변,2110,외상매입금,5335000,전자세금계산서,TAX-202608-0044,합성고무 원재료 구매,포트폴리오용 합성 거래
JV2026081045,1,2026-08-17,경영서비스 수수료,D001,V008,차변,5160,지급수수료,2330000,전자세금계산서,TAX-202608-0045,회계 자문 수수료,포트폴리오용 합성 거래
JV2026081045,2,2026-08-17,경영서비스 수수료,D001,V008,차변,1180,부가세대급금,233000,전자세금계산서,TAX-202608-0045,회계 자문 수수료,포트폴리오용 합성 거래
JV2026081045,3,2026-08-17,경영서비스 수수료,D001,V008,대변,2120,미지급금,2563000,전자세금계산서,TAX-202608-0045,회계 자문 수수료,포트폴리오용 합성 거래
JV2026081046,1,2026-08-02,원재료 매입,D002,V001,차변,1210,원재료,3190000,전자세금계산서,TAX-202608-0046,합성고무 원재료 구매,포트폴리오용 합성 거래
JV2026081046,2,2026-08-02,원재료 매입,D002,V001,차변,1180,부가세대급금,319000,전자세금계산서,TAX-202608-0046,합성고무 원재료 구매,포트폴리오용 합성 거래
JV2026081046,3,2026-08-02,원재료 매입,D002,V001,대변,2110,외상매입금,3509000,전자세금계산서,TAX-202608-0046,합성고무 원재료 구매,포트폴리오용 합성 거래
JV2026081047,1,2026-08-01,원재료 매입,D002,V001,차변,1210,원재료,5020000,전자세금계산서,TAX-202608-0047,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081047,2,2026-08-01,원재료 매입,D002,V001,차변,1180,부가세대급금,502000,전자세금계산서,TAX-202608-0047,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081047,3,2026-08-01,원재료 매입,D002,V001,대변,2110,외상매입금,5522000,전자세금계산서,TAX-202608-0047,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081048,1,2026-08-12,생산설비 구매,D002,V007,차변,1510,기계장치,37770000,전자세금계산서,TAX-202608-0048,생산설비 구매,포트폴리오용 합성 거래
JV2026081048,2,2026-08-12,생산설비 구매,D002,V007,차변,1180,부가세대급금,3777000,전자세금계산서,TAX-202608-0048,생산설비 구매,포트폴리오용 합성 거래
JV2026081048,3,2026-08-12,생산설비 구매,D002,V007,대변,2120,미지급금,41547000,전자세금계산서,TAX-202608-0048,생산설비 구매,포트폴리오용 합성 거래
JV2026081049,1,2026-08-04,제품 판매,D006,C004,차변,1130,외상매출금,19382000,전자세금계산서,TAX-202608-0049,방진부품 외상 판매,포트폴리오용 합성 거래
JV2026081049,2,2026-08-04,제품 판매,D006,C004,대변,4110,제품매출,17620000,전자세금계산서,TAX-202608-0049,방진부품 외상 판매,포트폴리오용 합성 거래
JV2026081049,3,2026-08-04,제품 판매,D006,C004,대변,2180,부가세예수금,1762000,전자세금계산서,TAX-202608-0049,방진부품 외상 판매,포트폴리오용 합성 거래
JV2026081050,1,2026-08-31,제품 판매,D006,C003,차변,1130,외상매출금,6523000,전자세금계산서,TAX-202608-0050,자동차용 고무부품 외상 판매,포트폴리오용 합성 거래
JV2026081050,2,2026-08-31,제품 판매,D006,C003,대변,4110,제품매출,5930000,전자세금계산서,TAX-202608-0050,자동차용 고무부품 외상 판매,포트폴리오용 합성 거래
JV2026081050,3,2026-08-31,제품 판매,D006,C003,대변,2180,부가세예수금,593000,전자세금계산서,TAX-202608-0050,자동차용 고무부품 외상 판매,포트폴리오용 합성 거래
JV2026081051,1,2026-08-22,산업용 소모품 구매,D004,V004,차변,5130,소모품비,200000,법인카드,TAX-202608-0051,검사용 소모품 구매,포트폴리오용 합성 거래
JV2026081051,2,2026-08-22,산업용 소모품 구매,D004,V004,차변,1180,부가세대급금,20000,법인카드,TAX-202608-0051,검사용 소모품 구매,포트폴리오용 합성 거래
JV2026081051,3,2026-08-22,산업용 소모품 구매,D004,V004,대변,2110,외상매입금,220000,법인카드,TAX-202608-0051,검사용 소모품 구매,포트폴리오용 합성 거래
JV2026081052,1,2026-08-09,제품 판매,D006,C004,차변,1130,외상매출금,15917000,전자세금계산서,TAX-202608-0052,자동차용 고무부품 외상 판매,포트폴리오용 합성 거래
JV2026081052,2,2026-08-09,제품 판매,D006,C004,대변,4110,제품매출,14470000,전자세금계산서,TAX-202608-0052,자동차용 고무부품 외상 판매,포트폴리오용 합성 거래
JV2026081052,3,2026-08-09,제품 판매,D006,C004,대변,2180,부가세예수금,1447000,전자세금계산서,TAX-202608-0052,자동차용 고무부품 외상 판매,포트폴리오용 합성 거래
JV2026081053,1,2026-08-03,운송비,D007,V005,차변,5140,운반비,1090000,전자세금계산서,TAX-202608-0053,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081053,2,2026-08-03,운송비,D007,V005,차변,1180,부가세대급금,109000,전자세금계산서,TAX-202608-0053,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081053,3,2026-08-03,운송비,D007,V005,대변,2120,미지급금,1199000,전자세금계산서,TAX-202608-0053,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081054,1,2026-08-20,운송비,D007,V005,차변,5140,운반비,1150000,전자세금계산서,TAX-202608-0054,긴급 납품 운송비,포트폴리오용 합성 거래
